ID	STRUCTURE	FREQUENCY	Bana	BiaoMin	CentralGuizhouChuanqiandian	Chuanqiandian	EasternBahen	EasternLuobuohe	EasternQiandong	EasternXiangxi	Numao	WesternBaheng	WesternLuobuohe	WesternQiandong	WesternXiangxi	Younuo	ZaoMin	COGNATESETS	CONCEPTS
1116-2	i	2	ts	Ø	q	q	qʰ	qʰ	q	Ø	Ø	q	qʰ	q	q	k	Ø	9295:0, 10477:0	star / undress (take off clothes)
351-20	i	20	t	t	t	t	t	z	t	d	t	t	ð	t	t	t	t	2778:0, 3725:0, 2237:0, 3748:0, 7803:0, 10892:0, 4699:0, 2:0, 3301:0, 7338:0, 8668:0, 743:0, 1071:0, 3223:0, 4147:0, 7505:0, 8214:0, 9233:0, 9267:0, 9297:0	(rain) fall / bee / box / come / die / easy / elder brother / fire / firewood / front / hammer / pillow / press / right (correct) / scissors / sister-in-law (older brother's wife) / squeeze / stand up / star / which
1020-9	i	9	t	d	t	t	ⁿt	t	t	t	t	n	t	t	t	t	d	5977:0, 4488:0, 7542:0, 2042:0, 5424:0, 1766:0, 1379:0, 2007:0, 5250:0	buttocks / child / close (the door) / cloud / gourd / human being / itch / louse / pumpkin
121-7	i	7	t	d	t	t	t	t	t	t	t	t	t	t	t	t	d	9758:0, 9878:0, 1760:0, 8980:0, 4741:0, 7418:0, 6298:0	child / daughter / hard / mosquito / point at / son-in-law / tail / thick
1221-6	i	6	t	t	t	t	t	t	t	tʰ	t	t	t	t	ʈʰ	t	t	5032:0, 3646:0, 6925:0, 4842:0, 4864:0, 8845:0	belly / field / hear / heart / hold or take / maize/ corn / old man / smoke
766-5	i	5	t	t	ⁿt	ʈ	tʰ	t	Ø	t	t	n	t	t	ʈ	t	d	5049:0, 9431:0, 1421:0, 275:0, 3170:0	and / calf / earthen jar / hoof / stool (bench)
534-4	i	4	t	t	t	t	t	t	t	t	t	t	t	t	t	t	d	8973:0, 10445:0, 6971:0, 236:0	alcoholic beverage / oneself / son / son-in-law / under
1179-4	i	4	t	t	tɬ	ʈʰ	t	t	t	t	t	t	ⁿt	t	ⁿt	t	Ø	7304:0, 4336:0, 5007:0, 6760:0	give birth / hoe / noon / pestle
410-3	i	3	t	ts	t	t	t	t	t	t	t	tʰ	t	t	t	t	t	146:0, 5385:0, 209:0	a lame person / afternoon / calf / foot / girl / intestine
577-3	i	3	t	t	ʈʂ	ʈ	t	t	t	d	t	Ø	Ø	t	ʈ	t	t	1841:0, 3571:0, 3570:0	chopsticks / fat
1128-3	i	3	t	Ø	t	t	tʰ	t	Ø	d	t	t	t	Ø	ʈ	tʰ	Ø	9368:0, 6483:0, 3802:0	flat (level) / nail / step (verb)
1185-3	i	3	t	Ø	tɕ	ɕ	tɕ	tɕ	Ø	ts	Ø	tɕ	tɕ	Ø	t	t	ts	6210:0, 5601:0, 6072:0	last year / many / monkey / next year / this year / year
1321-3	i	3	t	d	tɬ	tʰ	d	z	t	d	Ø	t	ð	tʰ	tʰ	t	t	3709:0, 85:0, 3663:0	a blind person / fight / fill up (a hollow)
1323-3	i	3	t	ts	ⁿʈʂ	ʈ	tɕʰ	t	t	ts	Ø	qʰ	t	tɕ	ʈ	tʰ	t	1941:0, 7771:0, 3124:0	claw (talon) / ear / right
1352-3	i	3	t	Ø	ⁿt	ⁿt	tʰ	t	Ø	d	t	tʰ	t	t	ⁿt	Ø	Ø	10817:0, 10570:0, 9926:0	thin (slim) / village / wet
120-2	i	2	t	tʰ	t	t	tʰ	ʑ	t	d	t	t	ð	t	t	t	t	651:0, 871:0	bean / bite
218-2	i	2	t	tʰ	t	t	tʰ	t	t	t	t	t	ð	t	t	t	d	3416:0, 10864:0	everybody / where
360-2	i	2	t	t	ʈʂ	ʈ	tʰ	ʈ	t	ts	t	tʰ	ʈ	t	Ø	t	d	9736:0, 7128:0	pants/ trousers / table
412-2	i	2	t	t	t	t	t	ʈ	t	d	Ø	t	ʈ	t	ʈ	t	ts	1925:0, 1861:0	classifier for birds / classifier for trees
492-2	i	2	t	t	ⁿt	t	t	ʁ	t	t	t	t	ʁ	Ø	t	t	d	5491:0, 7175:0	kill (a person) / peach
891-2	i	2	t	ts	ⁿtɕ	ⁿtɕ	d	ⁿdʑ	t	d	ⁿtɕ	tʰ	ⁿdʑ	Ø	ⁿt	tʰ	t	3686:0, 6399:0	file / mouth
1060-2	i	2	t	d	ⁿʈʂʰ	ⁿt	t	t	Ø	d	Ø	Ø	ð	t	Ø	Ø	Ø	4148:0, 10192:0	front / tomorrow
1070-1	i	1	t	Ø	Ø	Ø	Ø	Ø	Ø	tʰ	Ø	Ø	Ø	t	ⁿtʰ	Ø	Ø	1877:0	classifier for clothing
484-3	i	3	s	s	sʰ	tɕʰ	s	s	s	s	ɕ	s	s	ɕʰ	s	Ø	h	5903:0, 10159:0, 290:0	angular / lock / toilet
1164-3	i	3	s	ɕ	ɕ	q	ɕ	ɕ	ɕ	ɕ	kʰ	Ø	ɕ	Ø	Ø	ɬ	s	1070:0, 9294:0, 4242:0	box / garlic / star
203-2	i	2	s	ɕ	sʰ	ɕ	s	s	s	s	ɕ	s	ɕ	sʰ	s	ɬ	s	5786:0, 1811:0	choose / letter
298-2	i	2	s	s	ʂ	s	s	s	s	s	s	s	ts	ɣ	s	ɬ	h	5958:0, 1812:0	choose / loose
1111-2	i	2	s	Ø	sʰ	Ø	s	ʐ	s	s	ɕ	s	ʐ	Ø	q	Ø	h	4240:0, 8796:0	garlic / sleeve
1136-2	i	2	s	ɕ	sʰ	s	ɕ	ʂ	ɕ	s	Ø	Ø	Ø	Ø	s	s	ʑ	4863:0, 5837:0	heart / lightning
70-1	i	1	s	s	sʰ	Ø	s	s	s	s	s	s	s	sʰ	s	Ø	h	10421:0	umbrella
244-1	i	1	s	s	Ø	Ø	s	s	s	s	Ø	Ø	Ø	s	s	Ø	Ø	7202:0	peanut
343-1	i	1	s	Ø	ʂʰ	Ø	Ø	tsʰ	s	z	Ø	Ø	Ø	sʰ	Ø	tʰ	Ø	4352:0	glutinous rice / rice
